name,sku,basePrice,compareAtPrice,stockOnHand,categoryName,brandName,shortDescription,description,imageUrl
Denim Belt Navy,GRS-0012,171,201,84,Accessories,Aysel Tekstil,Denim belt in navy,Handcrafted denim belt finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/denim-belt-navy-12-1/600/600|https://picsum.photos/seed/denim-belt-navy-12-2/600/600|https://picsum.photos/seed/denim-belt-navy-12-3/600/600
Canvas Loafers Burgundy,GRS-0013,184,,101,Footwear,Bursa Atelier,Canvas loafers in burgundy,Handcrafted canvas loafers finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/canvas-loafers-burgundy-13-1/600/600|https://picsum.photos/seed/canvas-loafers-burgundy-13-2/600/600|https://picsum.photos/seed/canvas-loafers-burgundy-13-3/600/600|https://picsum.photos/seed/canvas-loafers-burgundy-13-4/600/600
Silk Wallet Navy,GRS-0014,197,,118,Bags & leather goods,Anatolia Co.,Silk wallet in navy,Handcrafted silk wallet finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/silk-wallet-navy-14-1/600/600|https://picsum.photos/seed/silk-wallet-navy-14-2/600/600|https://picsum.photos/seed/silk-wallet-navy-14-3/600/600
Suede Shirt Burgundy,GRS-0015,24,69,15,Apparel & clothing,House label,Suede shirt in burgundy,Handcrafted suede shirt finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/suede-shirt-burgundy-15-1/600/600|https://picsum.photos/seed/suede-shirt-burgundy-15-2/600/600|https://picsum.photos/seed/suede-shirt-burgundy-15-3/600/600|https://picsum.photos/seed/suede-shirt-burgundy-15-4/600/600
Velvet Wrap Navy,GRS-0016,37,,32,Textiles & home,Aysel Tekstil,Velvet wrap in navy,Handcrafted velvet wrap finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/velvet-wrap-navy-16-1/600/600|https://picsum.photos/seed/velvet-wrap-navy-16-2/600/600|https://picsum.photos/seed/velvet-wrap-navy-16-3/600/600
Linen Necklace Burgundy,GRS-0017,50,,49,Accessories,Bursa Atelier,Linen necklace in burgundy,Handcrafted linen necklace finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/linen-necklace-burgundy-17-1/600/600|https://picsum.photos/seed/linen-necklace-burgundy-17-2/600/600|https://picsum.photos/seed/linen-necklace-burgundy-17-3/600/600|https://picsum.photos/seed/linen-necklace-burgundy-17-4/600/600
Leather Sandals Navy,GRS-0018,63,83,66,Footwear,Anatolia Co.,Leather sandals in navy,Handcrafted leather sandals finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/leather-sandals-navy-18-1/600/600|https://picsum.photos/seed/leather-sandals-navy-18-2/600/600|https://picsum.photos/seed/leather-sandals-navy-18-3/600/600
Cashmere Backpack Burgundy,GRS-0019,76,,83,Bags & leather goods,House label,Cashmere backpack in burgundy,Handcrafted cashmere backpack finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cashmere-backpack-burgundy-19-1/600/600|https://picsum.photos/seed/cashmere-backpack-burgundy-19-2/600/600|https://picsum.photos/seed/cashmere-backpack-burgundy-19-3/600/600|https://picsum.photos/seed/cashmere-backpack-burgundy-19-4/600/600
Cotton Kaftan Navy,GRS-0020,89,,100,Apparel & clothing,Aysel Tekstil,Cotton kaftan in navy,Handcrafted cotton kaftan finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cotton-kaftan-navy-20-1/600/600|https://picsum.photos/seed/cotton-kaftan-navy-20-2/600/600|https://picsum.photos/seed/cotton-kaftan-navy-20-3/600/600
Wool Bedsheet Burgundy,GRS-0021,102,137,117,Textiles & home,Bursa Atelier,Wool bedsheet in burgundy,Handcrafted wool bedsheet finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/wool-bedsheet-burgundy-21-1/600/600|https://picsum.photos/seed/wool-bedsheet-burgundy-21-2/600/600|https://picsum.photos/seed/wool-bedsheet-burgundy-21-3/600/600|https://picsum.photos/seed/wool-bedsheet-burgundy-21-4/600/600
Denim Gloves Navy,GRS-0022,115,,14,Accessories,Anatolia Co.,Denim gloves in navy,Handcrafted denim gloves finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/denim-gloves-navy-22-1/600/600|https://picsum.photos/seed/denim-gloves-navy-22-2/600/600|https://picsum.photos/seed/denim-gloves-navy-22-3/600/600
Canvas Heels Burgundy,GRS-0023,128,,31,Footwear,House label,Canvas heels in burgundy,Handcrafted canvas heels finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/canvas-heels-burgundy-23-1/600/600|https://picsum.photos/seed/canvas-heels-burgundy-23-2/600/600|https://picsum.photos/seed/canvas-heels-burgundy-23-3/600/600|https://picsum.photos/seed/canvas-heels-burgundy-23-4/600/600
Silk Tote Navy,GRS-0024,141,151,48,Bags & leather goods,Aysel Tekstil,Silk tote in navy,Handcrafted silk tote finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/silk-tote-navy-24-1/600/600|https://picsum.photos/seed/silk-tote-navy-24-2/600/600|https://picsum.photos/seed/silk-tote-navy-24-3/600/600
Suede Shirt Burgundy,GRS-0025,154,,65,Apparel & clothing,Bursa Atelier,Suede shirt in burgundy,Handcrafted suede shirt finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/suede-shirt-burgundy-25-1/600/600|https://picsum.photos/seed/suede-shirt-burgundy-25-2/600/600|https://picsum.photos/seed/suede-shirt-burgundy-25-3/600/600|https://picsum.photos/seed/suede-shirt-burgundy-25-4/600/600
Velvet Cushion Cover Navy,GRS-0026,167,,82,Textiles & home,Anatolia Co.,Velvet cushion cover in navy,Handcrafted velvet cushion cover finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/velvet-cushion-cover-navy-26-1/600/600|https://picsum.photos/seed/velvet-cushion-cover-navy-26-2/600/600|https://picsum.photos/seed/velvet-cushion-cover-navy-26-3/600/600
Linen Earrings Burgundy,GRS-0027,180,205,99,Accessories,House label,Linen earrings in burgundy,Handcrafted linen earrings finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/linen-earrings-burgundy-27-1/600/600|https://picsum.photos/seed/linen-earrings-burgundy-27-2/600/600|https://picsum.photos/seed/linen-earrings-burgundy-27-3/600/600|https://picsum.photos/seed/linen-earrings-burgundy-27-4/600/600
Leather Slippers Navy,GRS-0028,193,,116,Footwear,Aysel Tekstil,Leather slippers in navy,Handcrafted leather slippers finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/leather-slippers-navy-28-1/600/600|https://picsum.photos/seed/leather-slippers-navy-28-2/600/600|https://picsum.photos/seed/leather-slippers-navy-28-3/600/600
Cashmere Duffel Burgundy,GRS-0029,20,,13,Bags & leather goods,Bursa Atelier,Cashmere duffel in burgundy,Handcrafted cashmere duffel finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cashmere-duffel-burgundy-29-1/600/600|https://picsum.photos/seed/cashmere-duffel-burgundy-29-2/600/600|https://picsum.photos/seed/cashmere-duffel-burgundy-29-3/600/600|https://picsum.photos/seed/cashmere-duffel-burgundy-29-4/600/600
Cotton Kaftan Navy,GRS-0030,33,73,30,Apparel & clothing,Anatolia Co.,Cotton kaftan in navy,Handcrafted cotton kaftan finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cotton-kaftan-navy-30-1/600/600|https://picsum.photos/seed/cotton-kaftan-navy-30-2/600/600|https://picsum.photos/seed/cotton-kaftan-navy-30-3/600/600
Wool Curtain Burgundy,GRS-0031,46,,47,Textiles & home,House label,Wool curtain in burgundy,Handcrafted wool curtain finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/wool-curtain-burgundy-31-1/600/600|https://picsum.photos/seed/wool-curtain-burgundy-31-2/600/600|https://picsum.photos/seed/wool-curtain-burgundy-31-3/600/600|https://picsum.photos/seed/wool-curtain-burgundy-31-4/600/600
Denim Scarf Navy,GRS-0032,59,,64,Accessories,Aysel Tekstil,Denim scarf in navy,Handcrafted denim scarf finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/denim-scarf-navy-32-1/600/600|https://picsum.photos/seed/denim-scarf-navy-32-2/600/600|https://picsum.photos/seed/denim-scarf-navy-32-3/600/600
Canvas Sneakers Burgundy,GRS-0033,72,87,81,Footwear,Bursa Atelier,Canvas sneakers in burgundy,Handcrafted canvas sneakers finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/canvas-sneakers-burgundy-33-1/600/600|https://picsum.photos/seed/canvas-sneakers-burgundy-33-2/600/600|https://picsum.photos/seed/canvas-sneakers-burgundy-33-3/600/600|https://picsum.photos/seed/canvas-sneakers-burgundy-33-4/600/600
Silk Crossbody Bag Navy,GRS-0034,85,,98,Bags & leather goods,Anatolia Co.,Silk crossbody bag in navy,Handcrafted silk crossbody bag finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/silk-crossbody-bag-navy-34-1/600/600|https://picsum.photos/seed/silk-crossbody-bag-navy-34-2/600/600|https://picsum.photos/seed/silk-crossbody-bag-navy-34-3/600/600
Suede Shirt Burgundy,GRS-0035,98,,115,Apparel & clothing,House label,Suede shirt in burgundy,Handcrafted suede shirt finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/suede-shirt-burgundy-35-1/600/600|https://picsum.photos/seed/suede-shirt-burgundy-35-2/600/600|https://picsum.photos/seed/suede-shirt-burgundy-35-3/600/600|https://picsum.photos/seed/suede-shirt-burgundy-35-4/600/600
Velvet Blanket Navy,GRS-0036,111,141,12,Textiles & home,Aysel Tekstil,Velvet blanket in navy,Handcrafted velvet blanket finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/velvet-blanket-navy-36-1/600/600|https://picsum.photos/seed/velvet-blanket-navy-36-2/600/600|https://picsum.photos/seed/velvet-blanket-navy-36-3/600/600
Linen Hat Burgundy,GRS-0037,124,,29,Accessories,Bursa Atelier,Linen hat in burgundy,Handcrafted linen hat finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/linen-hat-burgundy-37-1/600/600|https://picsum.photos/seed/linen-hat-burgundy-37-2/600/600|https://picsum.photos/seed/linen-hat-burgundy-37-3/600/600|https://picsum.photos/seed/linen-hat-burgundy-37-4/600/600
Leather Boots Navy,GRS-0038,137,,46,Footwear,Anatolia Co.,Leather boots in navy,Handcrafted leather boots finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/leather-boots-navy-38-1/600/600|https://picsum.photos/seed/leather-boots-navy-38-2/600/600|https://picsum.photos/seed/leather-boots-navy-38-3/600/600
Cashmere Clutch Burgundy,GRS-0039,150,195,63,Bags & leather goods,House label,Cashmere clutch in burgundy,Handcrafted cashmere clutch finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cashmere-clutch-burgundy-39-1/600/600|https://picsum.photos/seed/cashmere-clutch-burgundy-39-2/600/600|https://picsum.photos/seed/cashmere-clutch-burgundy-39-3/600/600|https://picsum.photos/seed/cashmere-clutch-burgundy-39-4/600/600
Cotton Kaftan Navy,GRS-0040,163,,80,Apparel & clothing,Aysel Tekstil,Cotton kaftan in navy,Handcrafted cotton kaftan finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cotton-kaftan-navy-40-1/600/600|https://picsum.photos/seed/cotton-kaftan-navy-40-2/600/600|https://picsum.photos/seed/cotton-kaftan-navy-40-3/600/600
Wool Throw Burgundy,GRS-0041,176,,97,Textiles & home,Bursa Atelier,Wool throw in burgundy,Handcrafted wool throw finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/wool-throw-burgundy-41-1/600/600|https://picsum.photos/seed/wool-throw-burgundy-41-2/600/600|https://picsum.photos/seed/wool-throw-burgundy-41-3/600/600|https://picsum.photos/seed/wool-throw-burgundy-41-4/600/600
Denim Bracelet Navy,GRS-0042,189,209,114,Accessories,Anatolia Co.,Denim bracelet in navy,Handcrafted denim bracelet finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/denim-bracelet-navy-42-1/600/600|https://picsum.photos/seed/denim-bracelet-navy-42-2/600/600|https://picsum.photos/seed/denim-bracelet-navy-42-3/600/600
Canvas Loafers Burgundy,GRS-0043,16,,11,Footwear,House label,Canvas loafers in burgundy,Handcrafted canvas loafers finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/canvas-loafers-burgundy-43-1/600/600|https://picsum.photos/seed/canvas-loafers-burgundy-43-2/600/600|https://picsum.photos/seed/canvas-loafers-burgundy-43-3/600/600|https://picsum.photos/seed/canvas-loafers-burgundy-43-4/600/600
Silk Wallet Navy,GRS-0044,29,,28,Bags & leather goods,Aysel Tekstil,Silk wallet in navy,Handcrafted silk wallet finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/silk-wallet-navy-44-1/600/600|https://picsum.photos/seed/silk-wallet-navy-44-2/600/600|https://picsum.photos/seed/silk-wallet-navy-44-3/600/600
Suede Shirt Burgundy,GRS-0045,42,77,45,Apparel & clothing,Bursa Atelier,Suede shirt in burgundy,Handcrafted suede shirt finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/suede-shirt-burgundy-45-1/600/600|https://picsum.photos/seed/suede-shirt-burgundy-45-2/600/600|https://picsum.photos/seed/suede-shirt-burgundy-45-3/600/600|https://picsum.photos/seed/suede-shirt-burgundy-45-4/600/600
Velvet Towel Navy,GRS-0046,55,,62,Textiles & home,Anatolia Co.,Velvet towel in navy,Handcrafted velvet towel finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/velvet-towel-navy-46-1/600/600|https://picsum.photos/seed/velvet-towel-navy-46-2/600/600|https://picsum.photos/seed/velvet-towel-navy-46-3/600/600
Linen Sunglasses Burgundy,GRS-0047,68,,79,Accessories,House label,Linen sunglasses in burgundy,Handcrafted linen sunglasses finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/linen-sunglasses-burgundy-47-1/600/600|https://picsum.photos/seed/linen-sunglasses-burgundy-47-2/600/600|https://picsum.photos/seed/linen-sunglasses-burgundy-47-3/600/600|https://picsum.photos/seed/linen-sunglasses-burgundy-47-4/600/600
Leather Sandals Navy,GRS-0048,81,91,96,Footwear,Aysel Tekstil,Leather sandals in navy,Handcrafted leather sandals finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/leather-sandals-navy-48-1/600/600|https://picsum.photos/seed/leather-sandals-navy-48-2/600/600|https://picsum.photos/seed/leather-sandals-navy-48-3/600/600
Cashmere Backpack Burgundy,GRS-0049,94,,113,Bags & leather goods,Bursa Atelier,Cashmere backpack in burgundy,Handcrafted cashmere backpack finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cashmere-backpack-burgundy-49-1/600/600|https://picsum.photos/seed/cashmere-backpack-burgundy-49-2/600/600|https://picsum.photos/seed/cashmere-backpack-burgundy-49-3/600/600|https://picsum.photos/seed/cashmere-backpack-burgundy-49-4/600/600
Cotton Kaftan Navy,GRS-0050,107,,10,Apparel & clothing,Anatolia Co.,Cotton kaftan in navy,Handcrafted cotton kaftan finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cotton-kaftan-navy-50-1/600/600|https://picsum.photos/seed/cotton-kaftan-navy-50-2/600/600|https://picsum.photos/seed/cotton-kaftan-navy-50-3/600/600
Wool Table Runner Burgundy,GRS-0051,120,145,27,Textiles & home,House label,Wool table runner in burgundy,Handcrafted wool table runner finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/wool-table-runner-burgundy-51-1/600/600|https://picsum.photos/seed/wool-table-runner-burgundy-51-2/600/600|https://picsum.photos/seed/wool-table-runner-burgundy-51-3/600/600|https://picsum.photos/seed/wool-table-runner-burgundy-51-4/600/600
Denim Belt Navy,GRS-0052,133,,44,Accessories,Aysel Tekstil,Denim belt in navy,Handcrafted denim belt finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/denim-belt-navy-52-1/600/600|https://picsum.photos/seed/denim-belt-navy-52-2/600/600|https://picsum.photos/seed/denim-belt-navy-52-3/600/600
Canvas Heels Burgundy,GRS-0053,146,,61,Footwear,Bursa Atelier,Canvas heels in burgundy,Handcrafted canvas heels finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/canvas-heels-burgundy-53-1/600/600|https://picsum.photos/seed/canvas-heels-burgundy-53-2/600/600|https://picsum.photos/seed/canvas-heels-burgundy-53-3/600/600|https://picsum.photos/seed/canvas-heels-burgundy-53-4/600/600
Silk Tote Navy,GRS-0054,159,199,78,Bags & leather goods,Anatolia Co.,Silk tote in navy,Handcrafted silk tote finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/silk-tote-navy-54-1/600/600|https://picsum.photos/seed/silk-tote-navy-54-2/600/600|https://picsum.photos/seed/silk-tote-navy-54-3/600/600
Suede Shirt Burgundy,GRS-0055,172,,95,Apparel & clothing,House label,Suede shirt in burgundy,Handcrafted suede shirt finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/suede-shirt-burgundy-55-1/600/600|https://picsum.photos/seed/suede-shirt-burgundy-55-2/600/600|https://picsum.photos/seed/suede-shirt-burgundy-55-3/600/600|https://picsum.photos/seed/suede-shirt-burgundy-55-4/600/600
Velvet Wrap Navy,GRS-0056,185,,112,Textiles & home,Aysel Tekstil,Velvet wrap in navy,Handcrafted velvet wrap finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/velvet-wrap-navy-56-1/600/600|https://picsum.photos/seed/velvet-wrap-navy-56-2/600/600|https://picsum.photos/seed/velvet-wrap-navy-56-3/600/600
Linen Necklace Burgundy,GRS-0057,198,213,9,Accessories,Bursa Atelier,Linen necklace in burgundy,Handcrafted linen necklace finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/linen-necklace-burgundy-57-1/600/600|https://picsum.photos/seed/linen-necklace-burgundy-57-2/600/600|https://picsum.photos/seed/linen-necklace-burgundy-57-3/600/600|https://picsum.photos/seed/linen-necklace-burgundy-57-4/600/600
Leather Slippers Navy,GRS-0058,25,,26,Footwear,Anatolia Co.,Leather slippers in navy,Handcrafted leather slippers finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/leather-slippers-navy-58-1/600/600|https://picsum.photos/seed/leather-slippers-navy-58-2/600/600|https://picsum.photos/seed/leather-slippers-navy-58-3/600/600
Cashmere Duffel Burgundy,GRS-0059,38,,43,Bags & leather goods,House label,Cashmere duffel in burgundy,Handcrafted cashmere duffel finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cashmere-duffel-burgundy-59-1/600/600|https://picsum.photos/seed/cashmere-duffel-burgundy-59-2/600/600|https://picsum.photos/seed/cashmere-duffel-burgundy-59-3/600/600|https://picsum.photos/seed/cashmere-duffel-burgundy-59-4/600/600
Cotton Kaftan Navy,GRS-0060,51,81,60,Apparel & clothing,Aysel Tekstil,Cotton kaftan in navy,Handcrafted cotton kaftan finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cotton-kaftan-navy-60-1/600/600|https://picsum.photos/seed/cotton-kaftan-navy-60-2/600/600|https://picsum.photos/seed/cotton-kaftan-navy-60-3/600/600
Wool Bedsheet Burgundy,GRS-0061,64,,77,Textiles & home,Bursa Atelier,Wool bedsheet in burgundy,Handcrafted wool bedsheet finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/wool-bedsheet-burgundy-61-1/600/600|https://picsum.photos/seed/wool-bedsheet-burgundy-61-2/600/600|https://picsum.photos/seed/wool-bedsheet-burgundy-61-3/600/600|https://picsum.photos/seed/wool-bedsheet-burgundy-61-4/600/600
Denim Gloves Navy,GRS-0062,77,,94,Accessories,Anatolia Co.,Denim gloves in navy,Handcrafted denim gloves finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/denim-gloves-navy-62-1/600/600|https://picsum.photos/seed/denim-gloves-navy-62-2/600/600|https://picsum.photos/seed/denim-gloves-navy-62-3/600/600
Canvas Sneakers Burgundy,GRS-0063,90,135,111,Footwear,House label,Canvas sneakers in burgundy,Handcrafted canvas sneakers finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/canvas-sneakers-burgundy-63-1/600/600|https://picsum.photos/seed/canvas-sneakers-burgundy-63-2/600/600|https://picsum.photos/seed/canvas-sneakers-burgundy-63-3/600/600|https://picsum.photos/seed/canvas-sneakers-burgundy-63-4/600/600
Silk Crossbody Bag Navy,GRS-0064,103,,8,Bags & leather goods,Aysel Tekstil,Silk crossbody bag in navy,Handcrafted silk crossbody bag finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/silk-crossbody-bag-navy-64-1/600/600|https://picsum.photos/seed/silk-crossbody-bag-navy-64-2/600/600|https://picsum.photos/seed/silk-crossbody-bag-navy-64-3/600/600
Suede Shirt Burgundy,GRS-0065,116,,25,Apparel & clothing,Bursa Atelier,Suede shirt in burgundy,Handcrafted suede shirt finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/suede-shirt-burgundy-65-1/600/600|https://picsum.photos/seed/suede-shirt-burgundy-65-2/600/600|https://picsum.photos/seed/suede-shirt-burgundy-65-3/600/600|https://picsum.photos/seed/suede-shirt-burgundy-65-4/600/600
Velvet Cushion Cover Navy,GRS-0066,129,149,42,Textiles & home,Anatolia Co.,Velvet cushion cover in navy,Handcrafted velvet cushion cover finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/velvet-cushion-cover-navy-66-1/600/600|https://picsum.photos/seed/velvet-cushion-cover-navy-66-2/600/600|https://picsum.photos/seed/velvet-cushion-cover-navy-66-3/600/600
Linen Earrings Burgundy,GRS-0067,142,,59,Accessories,House label,Linen earrings in burgundy,Handcrafted linen earrings finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/linen-earrings-burgundy-67-1/600/600|https://picsum.photos/seed/linen-earrings-burgundy-67-2/600/600|https://picsum.photos/seed/linen-earrings-burgundy-67-3/600/600|https://picsum.photos/seed/linen-earrings-burgundy-67-4/600/600
Leather Boots Navy,GRS-0068,155,,76,Footwear,Aysel Tekstil,Leather boots in navy,Handcrafted leather boots finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/leather-boots-navy-68-1/600/600|https://picsum.photos/seed/leather-boots-navy-68-2/600/600|https://picsum.photos/seed/leather-boots-navy-68-3/600/600
Cashmere Clutch Burgundy,GRS-0069,168,203,93,Bags & leather goods,Bursa Atelier,Cashmere clutch in burgundy,Handcrafted cashmere clutch finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cashmere-clutch-burgundy-69-1/600/600|https://picsum.photos/seed/cashmere-clutch-burgundy-69-2/600/600|https://picsum.photos/seed/cashmere-clutch-burgundy-69-3/600/600|https://picsum.photos/seed/cashmere-clutch-burgundy-69-4/600/600
Cotton Kaftan Navy,GRS-0070,181,,110,Apparel & clothing,Anatolia Co.,Cotton kaftan in navy,Handcrafted cotton kaftan finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/cotton-kaftan-navy-70-1/600/600|https://picsum.photos/seed/cotton-kaftan-navy-70-2/600/600|https://picsum.photos/seed/cotton-kaftan-navy-70-3/600/600
Wool Curtain Burgundy,GRS-0071,194,,7,Textiles & home,House label,Wool curtain in burgundy,Handcrafted wool curtain finished by Anatolian artisans for everyday wear,https://picsum.photos/seed/wool-curtain-burgundy-71-1/600/600|https://picsum.photos/seed/wool-curtain-burgundy-71-2/600/600|https://picsum.photos/seed/wool-curtain-burgundy-71-3/600/600|https://picsum.photos/seed/wool-curtain-burgundy-71-4/600/600
