name,sku,basePrice,compareAtPrice,stockOnHand,categoryName,brandName,shortDescription,description,imageUrl
Linen Table Runner Black,GRS-0027,19,,78,Textiles & home,Aysel Tekstil,Linen Table Runner in black,Handcrafted linen table runner finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/34232560/pexels-photo-34232560.jpeg|https://images.pexels.com/photos/36672910/pexels-photo-36672910.jpeg|https://images.pexels.com/photos/20428215/pexels-photo-20428215.jpeg|https://images.pexels.com/photos/5814107/pexels-photo-5814107.jpeg
Linen Table Runner Olive,GRS-0028,19,,15,Textiles & home,Aysel Tekstil,Linen Table Runner in olive,Handcrafted linen table runner finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/34232560/pexels-photo-34232560.jpeg|https://images.pexels.com/photos/36672910/pexels-photo-36672910.jpeg|https://images.pexels.com/photos/20428215/pexels-photo-20428215.jpeg|https://images.pexels.com/photos/5814107/pexels-photo-5814107.jpeg
Linen Table Runner Cream,GRS-0029,19,26,69,Textiles & home,Aysel Tekstil,Linen Table Runner in cream,Handcrafted linen table runner finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/34232560/pexels-photo-34232560.jpeg|https://images.pexels.com/photos/36672910/pexels-photo-36672910.jpeg|https://images.pexels.com/photos/20428215/pexels-photo-20428215.jpeg|https://images.pexels.com/photos/5814107/pexels-photo-5814107.jpeg
Linen Table Runner Mustard,GRS-0030,19,,71,Textiles & home,Aysel Tekstil,Linen Table Runner in mustard,Handcrafted linen table runner finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/34232560/pexels-photo-34232560.jpeg|https://images.pexels.com/photos/36672910/pexels-photo-36672910.jpeg|https://images.pexels.com/photos/20428215/pexels-photo-20428215.jpeg|https://images.pexels.com/photos/5814107/pexels-photo-5814107.jpeg
Linen Table Runner Charcoal,GRS-0031,19,,66,Textiles & home,Aysel Tekstil,Linen Table Runner in charcoal,Handcrafted linen table runner finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/34232560/pexels-photo-34232560.jpeg|https://images.pexels.com/photos/36672910/pexels-photo-36672910.jpeg|https://images.pexels.com/photos/20428215/pexels-photo-20428215.jpeg|https://images.pexels.com/photos/5814107/pexels-photo-5814107.jpeg
Linen Table Runner Tan,GRS-0032,19,26,34,Textiles & home,Aysel Tekstil,Linen Table Runner in tan,Handcrafted linen table runner finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/34232560/pexels-photo-34232560.jpeg|https://images.pexels.com/photos/36672910/pexels-photo-36672910.jpeg|https://images.pexels.com/photos/20428215/pexels-photo-20428215.jpeg|https://images.pexels.com/photos/5814107/pexels-photo-5814107.jpeg
Cotton Curtain Panel Burgundy,GRS-0033,58,,20,Textiles & home,Bosphorus Trading Co.,Cotton Curtain Panel in burgundy,Handcrafted cotton curtain panel finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/10508017/pexels-photo-10508017.jpeg|https://images.pexels.com/photos/7114134/pexels-photo-7114134.jpeg|https://images.pexels.com/photos/13005088/pexels-photo-13005088.jpeg
Cotton Curtain Panel Navy,GRS-0034,58,78,84,Textiles & home,Bosphorus Trading Co.,Cotton Curtain Panel in navy,Handcrafted cotton curtain panel finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/10508017/pexels-photo-10508017.jpeg|https://images.pexels.com/photos/7114134/pexels-photo-7114134.jpeg|https://images.pexels.com/photos/13005088/pexels-photo-13005088.jpeg
Cotton Curtain Panel Black,GRS-0035,58,,25,Textiles & home,Bosphorus Trading Co.,Cotton Curtain Panel in black,Handcrafted cotton curtain panel finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/10508017/pexels-photo-10508017.jpeg|https://images.pexels.com/photos/7114134/pexels-photo-7114134.jpeg|https://images.pexels.com/photos/13005088/pexels-photo-13005088.jpeg
Cotton Curtain Panel Olive,GRS-0036,58,,29,Textiles & home,Bosphorus Trading Co.,Cotton Curtain Panel in olive,Handcrafted cotton curtain panel finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/10508017/pexels-photo-10508017.jpeg|https://images.pexels.com/photos/7114134/pexels-photo-7114134.jpeg|https://images.pexels.com/photos/13005088/pexels-photo-13005088.jpeg
Cotton Curtain Panel Cream,GRS-0037,58,78,65,Textiles & home,Bosphorus Trading Co.,Cotton Curtain Panel in cream,Handcrafted cotton curtain panel finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/10508017/pexels-photo-10508017.jpeg|https://images.pexels.com/photos/7114134/pexels-photo-7114134.jpeg|https://images.pexels.com/photos/13005088/pexels-photo-13005088.jpeg
Cotton Curtain Panel Mustard,GRS-0038,58,,71,Textiles & home,Bosphorus Trading Co.,Cotton Curtain Panel in mustard,Handcrafted cotton curtain panel finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/10508017/pexels-photo-10508017.jpeg|https://images.pexels.com/photos/7114134/pexels-photo-7114134.jpeg|https://images.pexels.com/photos/13005088/pexels-photo-13005088.jpeg
Cotton Curtain Panel Charcoal,GRS-0039,58,,95,Textiles & home,Bosphorus Trading Co.,Cotton Curtain Panel in charcoal,Handcrafted cotton curtain panel finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/10508017/pexels-photo-10508017.jpeg|https://images.pexels.com/photos/7114134/pexels-photo-7114134.jpeg|https://images.pexels.com/photos/13005088/pexels-photo-13005088.jpeg
Cotton Curtain Panel Tan,GRS-0040,58,78,21,Textiles & home,Bosphorus Trading Co.,Cotton Curtain Panel in tan,Handcrafted cotton curtain panel finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/10508017/pexels-photo-10508017.jpeg|https://images.pexels.com/photos/7114134/pexels-photo-7114134.jpeg|https://images.pexels.com/photos/13005088/pexels-photo-13005088.jpeg
Denim Bracelet Burgundy,GRS-0041,41,,79,Accessories,Cappadocia Crafts,Denim Bracelet in burgundy,Handcrafted denim bracelet finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/5758544/pexels-photo-5758544.jpeg|https://images.pexels.com/photos/69101/pexels-photo-69101.jpeg|https://images.pexels.com/photos/34303813/pexels-photo-34303813.jpeg|https://images.pexels.com/photos/7872455/pexels-photo-7872455.jpeg
Denim Bracelet Navy,GRS-0042,41,55,80,Accessories,Cappadocia Crafts,Denim Bracelet in navy,Handcrafted denim bracelet finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/5758544/pexels-photo-5758544.jpeg|https://images.pexels.com/photos/69101/pexels-photo-69101.jpeg|https://images.pexels.com/photos/34303813/pexels-photo-34303813.jpeg|https://images.pexels.com/photos/7872455/pexels-photo-7872455.jpeg
Denim Bracelet Black,GRS-0043,41,,32,Accessories,Cappadocia Crafts,Denim Bracelet in black,Handcrafted denim bracelet finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/5758544/pexels-photo-5758544.jpeg|https://images.pexels.com/photos/69101/pexels-photo-69101.jpeg|https://images.pexels.com/photos/34303813/pexels-photo-34303813.jpeg|https://images.pexels.com/photos/7872455/pexels-photo-7872455.jpeg
Denim Bracelet Olive,GRS-0044,41,,11,Accessories,Cappadocia Crafts,Denim Bracelet in olive,Handcrafted denim bracelet finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/5758544/pexels-photo-5758544.jpeg|https://images.pexels.com/photos/69101/pexels-photo-69101.jpeg|https://images.pexels.com/photos/34303813/pexels-photo-34303813.jpeg|https://images.pexels.com/photos/7872455/pexels-photo-7872455.jpeg
Denim Bracelet Cream,GRS-0045,41,55,13,Accessories,Cappadocia Crafts,Denim Bracelet in cream,Handcrafted denim bracelet finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/5758544/pexels-photo-5758544.jpeg|https://images.pexels.com/photos/69101/pexels-photo-69101.jpeg|https://images.pexels.com/photos/34303813/pexels-photo-34303813.jpeg|https://images.pexels.com/photos/7872455/pexels-photo-7872455.jpeg
Denim Bracelet Mustard,GRS-0046,41,,89,Accessories,Cappadocia Crafts,Denim Bracelet in mustard,Handcrafted denim bracelet finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/5758544/pexels-photo-5758544.jpeg|https://images.pexels.com/photos/69101/pexels-photo-69101.jpeg|https://images.pexels.com/photos/34303813/pexels-photo-34303813.jpeg|https://images.pexels.com/photos/7872455/pexels-photo-7872455.jpeg
Denim Bracelet Charcoal,GRS-0047,41,,75,Accessories,Cappadocia Crafts,Denim Bracelet in charcoal,Handcrafted denim bracelet finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/5758544/pexels-photo-5758544.jpeg|https://images.pexels.com/photos/69101/pexels-photo-69101.jpeg|https://images.pexels.com/photos/34303813/pexels-photo-34303813.jpeg|https://images.pexels.com/photos/7872455/pexels-photo-7872455.jpeg
Denim Bracelet Tan,GRS-0048,41,55,50,Accessories,Cappadocia Crafts,Denim Bracelet in tan,Handcrafted denim bracelet finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/5758544/pexels-photo-5758544.jpeg|https://images.pexels.com/photos/69101/pexels-photo-69101.jpeg|https://images.pexels.com/photos/34303813/pexels-photo-34303813.jpeg|https://images.pexels.com/photos/7872455/pexels-photo-7872455.jpeg
Beaded Necklace Burgundy,GRS-0049,36,,52,Accessories,Izmir Leather Works,Beaded Necklace in burgundy,Handcrafted beaded necklace finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/9772647/pexels-photo-9772647.jpeg|https://images.pexels.com/photos/32568146/pexels-photo-32568146.jpeg|https://images.pexels.com/photos/10603207/pexels-photo-10603207.jpeg|https://images.pexels.com/photos/2360532/pexels-photo-2360532.jpeg
Beaded Necklace Navy,GRS-0050,36,49,32,Accessories,Izmir Leather Works,Beaded Necklace in navy,Handcrafted beaded necklace finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/9772647/pexels-photo-9772647.jpeg|https://images.pexels.com/photos/32568146/pexels-photo-32568146.jpeg|https://images.pexels.com/photos/10603207/pexels-photo-10603207.jpeg|https://images.pexels.com/photos/2360532/pexels-photo-2360532.jpeg
Beaded Necklace Black,GRS-0051,36,,36,Accessories,Izmir Leather Works,Beaded Necklace in black,Handcrafted beaded necklace finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/9772647/pexels-photo-9772647.jpeg|https://images.pexels.com/photos/32568146/pexels-photo-32568146.jpeg|https://images.pexels.com/photos/10603207/pexels-photo-10603207.jpeg|https://images.pexels.com/photos/2360532/pexels-photo-2360532.jpeg
Beaded Necklace Olive,GRS-0052,36,,34,Accessories,Izmir Leather Works,Beaded Necklace in olive,Handcrafted beaded necklace finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/9772647/pexels-photo-9772647.jpeg|https://images.pexels.com/photos/32568146/pexels-photo-32568146.jpeg|https://images.pexels.com/photos/10603207/pexels-photo-10603207.jpeg|https://images.pexels.com/photos/2360532/pexels-photo-2360532.jpeg
Beaded Necklace Cream,GRS-0053,36,49,32,Accessories,Izmir Leather Works,Beaded Necklace in cream,Handcrafted beaded necklace finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/9772647/pexels-photo-9772647.jpeg|https://images.pexels.com/photos/32568146/pexels-photo-32568146.jpeg|https://images.pexels.com/photos/10603207/pexels-photo-10603207.jpeg|https://images.pexels.com/photos/2360532/pexels-photo-2360532.jpeg
Beaded Necklace Mustard,GRS-0054,36,,19,Accessories,Izmir Leather Works,Beaded Necklace in mustard,Handcrafted beaded necklace finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/9772647/pexels-photo-9772647.jpeg|https://images.pexels.com/photos/32568146/pexels-photo-32568146.jpeg|https://images.pexels.com/photos/10603207/pexels-photo-10603207.jpeg|https://images.pexels.com/photos/2360532/pexels-photo-2360532.jpeg
Beaded Necklace Charcoal,GRS-0055,36,,50,Accessories,Izmir Leather Works,Beaded Necklace in charcoal,Handcrafted beaded necklace finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/9772647/pexels-photo-9772647.jpeg|https://images.pexels.com/photos/32568146/pexels-photo-32568146.jpeg|https://images.pexels.com/photos/10603207/pexels-photo-10603207.jpeg|https://images.pexels.com/photos/2360532/pexels-photo-2360532.jpeg
Beaded Necklace Tan,GRS-0056,36,49,54,Accessories,Izmir Leather Works,Beaded Necklace in tan,Handcrafted beaded necklace finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/9772647/pexels-photo-9772647.jpeg|https://images.pexels.com/photos/32568146/pexels-photo-32568146.jpeg|https://images.pexels.com/photos/10603207/pexels-photo-10603207.jpeg|https://images.pexels.com/photos/2360532/pexels-photo-2360532.jpeg
Silk Scarf Burgundy,GRS-0057,32,,68,Accessories,Konya Woolworks,Silk Scarf in burgundy,Handcrafted silk scarf finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/34225148/pexels-photo-34225148.jpeg|https://images.pexels.com/photos/36455711/pexels-photo-36455711.jpeg|https://images.pexels.com/photos/36455709/pexels-photo-36455709.jpeg|https://images.pexels.com/photos/27408060/pexels-photo-27408060.jpeg
Silk Scarf Navy,GRS-0058,32,43,75,Accessories,Konya Woolworks,Silk Scarf in navy,Handcrafted silk scarf finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/34225148/pexels-photo-34225148.jpeg|https://images.pexels.com/photos/36455711/pexels-photo-36455711.jpeg|https://images.pexels.com/photos/36455709/pexels-photo-36455709.jpeg|https://images.pexels.com/photos/27408060/pexels-photo-27408060.jpeg
Silk Scarf Black,GRS-0059,32,,44,Accessories,Konya Woolworks,Silk Scarf in black,Handcrafted silk scarf finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/34225148/pexels-photo-34225148.jpeg|https://images.pexels.com/photos/36455711/pexels-photo-36455711.jpeg|https://images.pexels.com/photos/36455709/pexels-photo-36455709.jpeg|https://images.pexels.com/photos/27408060/pexels-photo-27408060.jpeg
Silk Scarf Olive,GRS-0060,32,,90,Accessories,Konya Woolworks,Silk Scarf in olive,Handcrafted silk scarf finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/34225148/pexels-photo-34225148.jpeg|https://images.pexels.com/photos/36455711/pexels-photo-36455711.jpeg|https://images.pexels.com/photos/36455709/pexels-photo-36455709.jpeg|https://images.pexels.com/photos/27408060/pexels-photo-27408060.jpeg
Silk Scarf Cream,GRS-0061,32,43,84,Accessories,Konya Woolworks,Silk Scarf in cream,Handcrafted silk scarf finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/34225148/pexels-photo-34225148.jpeg|https://images.pexels.com/photos/36455711/pexels-photo-36455711.jpeg|https://images.pexels.com/photos/36455709/pexels-photo-36455709.jpeg|https://images.pexels.com/photos/27408060/pexels-photo-27408060.jpeg
Silk Scarf Mustard,GRS-0062,32,,27,Accessories,Konya Woolworks,Silk Scarf in mustard,Handcrafted silk scarf finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/34225148/pexels-photo-34225148.jpeg|https://images.pexels.com/photos/36455711/pexels-photo-36455711.jpeg|https://images.pexels.com/photos/36455709/pexels-photo-36455709.jpeg|https://images.pexels.com/photos/27408060/pexels-photo-27408060.jpeg
Silk Scarf Charcoal,GRS-0063,32,,60,Accessories,Konya Woolworks,Silk Scarf in charcoal,Handcrafted silk scarf finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/34225148/pexels-photo-34225148.jpeg|https://images.pexels.com/photos/36455711/pexels-photo-36455711.jpeg|https://images.pexels.com/photos/36455709/pexels-photo-36455709.jpeg|https://images.pexels.com/photos/27408060/pexels-photo-27408060.jpeg
Silk Scarf Tan,GRS-0064,32,43,33,Accessories,Konya Woolworks,Silk Scarf in tan,Handcrafted silk scarf finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/34225148/pexels-photo-34225148.jpeg|https://images.pexels.com/photos/36455711/pexels-photo-36455711.jpeg|https://images.pexels.com/photos/36455709/pexels-photo-36455709.jpeg|https://images.pexels.com/photos/27408060/pexels-photo-27408060.jpeg
Wool Beanie Burgundy,GRS-0065,24,,35,Accessories,Ephesus Design House,Wool Beanie in burgundy,Handcrafted wool beanie finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/2333596/pexels-photo-2333596.jpeg|https://images.pexels.com/photos/9828237/pexels-photo-9828237.jpeg|https://images.pexels.com/photos/7760743/pexels-photo-7760743.jpeg|https://images.pexels.com/photos/38000178/pexels-photo-38000178.jpeg
Wool Beanie Navy,GRS-0066,24,32,53,Accessories,Ephesus Design House,Wool Beanie in navy,Handcrafted wool beanie finished by Anatolian artisans for everyday wear,https://images.pexels.com/photos/2333596/pexels-photo-2333596.jpeg|https://images.pexels.com/photos/9828237/pexels-photo-9828237.jpeg|https://images.pexels.com/photos/7760743/pexels-photo-7760743.jpeg|https://images.pexels.com/photos/38000178/pexels-photo-38000178.jpeg
